Party Name,Parliament Constituency,Winning Candidate,Total Votes,Margin
Indian National Congress - INC,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077
Indian National Congress - INC,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120
Indian National Congress - INC,Dhule(2),BACHHAV SHOBHA DINESH,583866,3831
Indian National Congress - INC,Amravati (7),BALWANT BASWANT WANKHADE,526271,19731
Indian National Congress - INC,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768
Indian National Congress - INC,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380
Indian National Congress - INC,Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696
Indian National Congress - INC,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
Indian National Congress - INC,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442
Indian National Congress - INC,Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958
Indian National Congress - INC,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514
Indian National Congress - INC,Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881
Indian National Congress - INC,Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197
Indian National Congress - INC,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964
Indian National Congress - INC,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
Indian National Congress - INC,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
Indian National Congress - INC,Tura(2),SALENG A SANGMA,383919,155241
Indian National Congress - INC,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
Indian National Congress - INC,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
Indian National Congress - INC,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
Indian National Congress - INC,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
Indian National Congress - INC,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
Indian National Congress - INC,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
Indian National Congress - INC,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
Indian National Congress - INC,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
Indian National Congress - INC,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
Indian National Congress - INC,GANGANAGAR (1),KULDEEP INDORA,726492,88153
Indian National Congress - INC,CHURU(3),RAHUL KASWAN,728211,72737
